9406,-0.61,-1.82,10.56,0.54,-0.17,-0.01
9449,-0.51,-1.60,10.27,0.54,-0.19,0.02
9491,-0.65,-1.99,10.60,0.57,-0.21,0.08
9532,-0.31,-1.96,10.40,0.60,-0.22,0.08
9574,-0.55,-2.08,10.59,0.61,-0.19,0.06
9615,-0.45,-1.87,10.41,0.62,-0.16,0.07
9657,-0.41,-1.75,10.48,0.58,-0.13,0.07
9699,-0.35,-1.58,10.53,0.58,-0.17,0.05
9740,-0.34,-1.56,10.44,0.57,-0.17,0.03
9782,-0.34,-1.57,10.08,0.54,-0.15,0.05
9824,-0.31,-1.50,10.08,0.46,-0.13,0.05
9865,-0.51,-1.40,10.23,0.43,-0.08,0.05
9907,-0.36,-1.30,10.06,0.33,-0.11,0.08
9948,-0.35,-1.24,10.02,0.31,-0.12,0.07
9990,-0.32,-1.22,9.99,0.23,-0.08,-0.08
10032,-0.28,-2.16,9.21,0.21,-0.04,0.24
10073,-0.39,-1.57,10.08,0.10,-0.05,0.03
10116,-0.31,-1.45,9.75,0.06,-0.05,0.03
10158,-0.30,-1.52,9.87,0.01,-0.02,0.03
10199,-0.40,-1.50,10.00,-0.03,0.01,0.03
10242,-0.33,-1.35,9.55,-0.08,0.03,0.04
10283,-0.57,-1.51,10.30,-0.14,0.03,0.05
10326,-0.45,-1.39,9.75,-0.24,0.02,0.04
10368,-0.49,-1.52,10.23,-0.30,0.05,0.02
10409,-0.51,-1.45,9.99,-0.36,0.05,0.01
10451,-0.47,-1.55,10.28,-0.41,0.03,0.02
10494,-0.25,-1.58,10.01,-0.45,0.06,0.04
10536,-0.17,-1.70,10.36,-0.53,0.14,0.03
10579,-0.57,-1.56,10.35,-0.56,0.12,0.03
10622,-0.79,-1.75,10.52,-0.60,0.09,0.03
10664,-0.72,-1.64,10.09,-0.63,0.11,0.05
10707,-0.60,-1.98,10.51,-0.65,0.14,0.05
10749,-0.52,-2.06,10.52,-0.65,0.15,0.03
10792,-0.45,-2.11,10.33,-0.66,0.12,-0.00
10836,-0.67,-2.01,10.37,-0.64,0.16,-0.02
10880,-0.86,-2.03,10.62,-0.59,0.17,0.03
10923,-0.56,-2.09,10.20,-0.59,0.12,0.01
10966,-0.73,-2.07,10.36,-0.55,0.15,-0.01
11009,-0.69,-1.92,10.04,-0.55,0.11,-0.01
11053,-0.68,-2.05,9.93,-0.52,0.12,-0.01
11096,-0.60,-2.00,9.99,-0.51,0.11,-0.01
11138,-0.82,-2.13,10.09,-0.45,0.09,-0.00
11182,-0.69,-2.10,9.57,-0.41,0.07,-0.00
11225,-0.66,-2.15,9.68,-0.33,0.07,-0.01
11267,-0.75,-2.01,9.49,-0.29,0.07,0.00
11309,-0.57,-1.93,9.08,-0.21,0.01,0.02
11350,-0.58,-1.97,9.36,-0.23,0.08,0.00
11392,-0.79,-1.95,9.39,-0.09,0.04,0.02
11433,-0.81,-2.27,9.27,-0.01,-0.03,0.02
11475,-0.68,-1.92,9.15,0.27,-0.12,0.03
11517,-0.95,-2.38,10.10,0.29,-0.11,0.04
11560,-0.59,-2.00,9.40,0.33,-0.12,0.02
11601,-0.73,-1.61,9.91,0.34,-0.10,0.00
11643,-0.70,-1.45,9.42,0.32,-0.12,0.04
11685,-0.48,-1.36,9.37,0.31,-0.15,0.07
11726,-0.78,-1.53,9.88,0.31,-0.14,0.07
11768,-0.62,-1.71,10.16,0.35,-0.17,0.07
11810,-0.55,-1.58,9.86,0.39,-0.17,0.04
11852,-0.70,-1.61,10.12,0.43,-0.16,0.05
11895,-0.78,-1.79,10.01,0.49,-0.15,0.06
11937,-0.77,-1.96,10.38,0.54,-0.20,0.07
11980,-0.57,-2.10,10.64,0.65,-0.23,0.05
12023,-0.65,-1.69,10.58,0.72,-0.23,0.03
12065,-0.75,-1.41,10.90,0.71,-0.24,0.05
12108,-0.38,-1.18,9.94,0.65,-0.25,0.06
12150,-0.31,-1.41,10.27,0.56,-0.22,0.02
12192,-0.40,-1.71,10.77,0.53,-0.21,-0.01
12236,-0.52,-1.86,10.93,0.57,-0.20,-0.01
12279,-0.32,-1.83,10.72,0.60,-0.18,0.02
12322,-0.36,-1.83,10.66,0.60,-0.16,0.05
12365,-0.18,-1.59,10.08,0.56,-0.17,0.04
12407,-0.60,-1.54,10.54,0.50,-0.15,0.04
12450,-0.32,-1.50,10.04,0.46,-0.17,0.04
12493,-0.14,-1.64,10.08,0.38,-0.12,0.02
12535,-0.42,-1.61,10.30,0.38,-0.13,0.04
12578,-0.27,-1.63,9.76,0.32,-0.11,0.04
12620,-0.23,-1.60,9.83,0.29,-0.08,0.03
12661,-0.28,-1.41,9.93,0.20,-0.06,0.02
12703,-0.28,-1.34,9.63,0.09,-0.04,0.02
12744,-0.28,-1.45,9.77,0.00,-0.02,0.02
12786,-0.27,-1.52,9.81,-0.04,-0.00,0.02
12829,-0.38,-1.70,10.11,-0.07,0.02,0.02
12871,-0.26,-1.55,9.61,-0.12,0.04,0.02
12913,-0.45,-1.53,10.31,-0.20,0.06,0.02
12956,-0.44,-1.31,9.70,-0.25,0.05,0.02
12997,-0.43,-1.45,10.12,-0.38,0.06,0.01
13040,-0.37,-1.44,10.15,-0.41,0.09,0.00
13083,-0.46,-1.45,10.47,-0.51,0.12,0.00
13125,-0.53,-1.43,10.29,-0.53,0.11,0.03
13168,-0.61,-1.71,10.59,-0.61,0.15,0.03
13210,-0.62,-1.58,10.20,-0.62,0.15,0.01
13253,-0.52,-1.71,10.30,-0.71,0.16,-0.01
13297,-0.73,-1.82,10.85,-0.68,0.18,-0.00
13340,-0.78,-1.87,10.52,-0.67,0.12,0.01
13383,-0.68,-2.07,10.69,-0.71,0.16,-0.00
13427,-0.68,-1.96,10.59,-0.71,0.18,-0.00
13470,-0.66,-2.06,10.29,-0.74,0.15,0.00
13513,-0.87,-2.14,10.64,-0.71,0.17,-0.02
13557,-0.82,-2.09,10.01,-0.65,0.16,-0.03
13600,-0.94,-2.22,10.35,-0.65,0.12,-0.00
13644,-0.71,-2.29,10.12,-0.59,0.12,0.01
13687,-0.63,-2.16,10.01,-0.55,0.13,0.01
13729,-0.87,-2.24,9.95,-0.49,0.10,0.02
13771,-0.81,-2.04,9.63,-0.49,0.06,0.02
13812,-0.67,-2.20,9.70,-0.43,0.07,0.01
13854,-0.71,-2.08,9.29,-0.38,0.05,0.01
13896,-0.68,-2.18,9.16,-0.32,0.02,0.01
13937,-0.62,-2.30,9.42,-0.19,0.04,0.02
13979,-0.69,-2.19,9.29,-0.08,-0.01,0.01
14022,-0.69,-2.23,8.90,0.03,-0.03,-0.00
14064,-0.68,-1.96,9.24,0.10,-0.02,0.01
14106,-0.72,-1.92,8.98,0.19,-0.08,0.02
14148,-0.56,-1.91,9.27,0.26,-0.08,0.01
14189,-0.67,-1.83,9.69,0.36,-0.10,0.01
